
---- PROCESS STARTING ON: Wed, 06 Mar 2013 14:08:23 +0000 ----
[2013-03-06 15:08:23,895][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF299.5\nsS'height'\np5\nI31\nsS'width'\np6\nI32\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI34\ns."
[2013-03-06 15:08:23,896][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF10\nsS'height'\np5\nI3\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI16\ns."
[2013-03-06 15:08:23,896][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI38\nsS'x'\nI1\nsS'height'\np5\nI81\nsS'surface'\np6\nF1675\nsS'width'\np7\nI43\nsa(dp8\nS'y'\nI1\nsS'x'\nI121\nsg5\nI43\nsg6\nF618.5\nsg7\nI38\nsa(dp9\nS'y'\nI88\nsS'x'\nI114\nsg5\nI31\nsg6\nF489.5\nsg7\nI45\nsa(dp10\nS'y'\nI1\nsS'x'\nI34\nsg5\nI31\nsg6\nF299.5\nsg7\nI32\nsa(dp11\nS'y'\nI49\nsS'x'\nI148\nsg5\nI27\nsg6\nF108\nsg7\nI11\nsa(dp12\nS'y'\nI41\nsS'x'\nI20\nsg5\nI13\nsg6\nF97.5\nsg7\nI14\nsa(dp13\nS'y'\nI23\nsS'x'\nI1\nsg5\nI9\nsg6\nF65\nsg7\nI11\nsa(dp14\nS'y'\nI10\nsS'x'\nI116\nsg5\nI10\nsg6\nF49\nsg7\nI12\nsa(dp15\nS'y'\nI45\nsS'x'\nI64\nsg5\nI6\nsg6\nF25\nsg7\nI6\nsa(dp16\nS'y'\nI98\nsS'x'\nI120\nsg5\nI5\nsg6\nF20\nsg7\nI6\nsa(dp17\nS'y'\nI31\nsS'x'\nI126\nsg5\nI5\nsg6\nF20\nsg7\nI6\nsa(dp18\nS'y'\nI13\nsS'x'\nI10\nsg5\nI5\nsg6\nF20\nsg7\nI6\nsa(dp19\nS'y'\nI116\nsS'x'\nI60\nsg5\nI3\nsg6\nF18.5\nsg7\nI14\nsa(dp20\nS'y'\nI1\nsS'x'\nI16\nsg5\nI3\nsg6\nF10\nsg7\nI6\nsa(dp21\nS'y'\nI1\nsS'x'\nI100\nsg5\nI2\nsg6\nF5\nsg7\nI6\nsasS'command'\np22\nS'observation'\np23\nsS'name'\np24\nS'combined_green'\np25\ns."
[2013-03-06 15:08:24,096][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF10\nsS'height'\np5\nI6\nsS'width'\np6\nI3\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI4\nsS'x'\nI1\ns."
[2013-03-06 15:08:24,096][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI4\nsS'x'\nI1\nsS'height'\np5\nI6\nsS'surface'\np6\nF10\nsS'width'\np7\nI3\nsasS'command'\np8\nS'observation'\np9\nsS'name'\np10\nS'combined_yellow'\np11\ns."
[2013-03-06 15:08:24,096][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF5\nsS'height'\np5\nI2\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI117\nsS'x'\nI92\ns."
[2013-03-06 15:08:24,097][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF5\nsS'height'\np5\nI2\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI117\nsS'x'\nI58\ns."
[2013-03-06 15:08:24,097][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF24.5\nsS'height'\np5\nI6\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI96\nsS'x'\nI50\ns."
[2013-03-06 15:08:24,097][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF25\nsS'height'\np5\nI6\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI89\nsS'x'\nI36\ns."
[2013-03-06 15:08:24,097][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'green'\np3\nsS'surface'\np4\nF482\nsS'height'\np5\nI50\nsS'width'\np6\nI39\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI69\nsS'x'\nI120\ns."
